country,year,population_adult
Norway,2015,3972443
Norway,2016,4016798
Norway,2017,4061182
Norway,2018,4099201
Norway,2019,4138264
Norway,2020,4184296
Norway,2021,4216062
Norway,2022,4251821
Norway,2023,4310611
Switzerland,1960,3690596
Switzerland,1961,3738576
Switzerland,1962,3817882
Switzerland,1963,3895767
Switzerland,1964,3970066
Switzerland,1965,4033121
Switzerland,1966,4082380
Switzerland,1967,4139861
Switzerland,1968,4211462
Switzerland,1969,4278596
Switzerland,1970,4344485
Switzerland,1971,4362517
Switzerland,1972,4400764
Switzerland,1973,4453376
Switzerland,1974,4498291
Switzerland,1975,4542077
Switzerland,1976,4542152
Switzerland,1977,4544192
Switzerland,1978,4565930
Switzerland,1979,4597478
Switzerland,1980,4638132
Switzerland,1981,4687973
Switzerland,1982,4747129
Switzerland,1983,4810288
Switzerland,1984,4860505
Switzerland,1985,4915474
Switzerland,1986,4969521
Switzerland,1987,5025819
Switzerland,1988,5083221
Switzerland,1989,5140773
Switzerland,1990,5197027
Switzerland,1991,5279280
Switzerland,1992,5342954
Switzerland,1993,5386437
Switzerland,1994,5429717
Switzerland,1995,5465661
Switzerland,1996,5494685
Switzerland,1997,5507265
Switzerland,1998,5520214
Switzerland,1999,5545507
Switzerland,2000,5582861
Switzerland,2001,5621884
Switzerland,2002,5696597
Switzerland,2003,5753718
Switzerland,2004,5806863
Switzerland,2005,5860541
Switzerland,2006,5910318
Switzerland,2007,5964234
Switzerland,2008,6051235
Switzerland,2009,6155956
Switzerland,2010,6240865
Switzerland,2011,6321538
Switzerland,2012,6405732
Switzerland,2013,6486426
Switzerland,2014,6576367
Switzerland,2015,6663744
Switzerland,2016,6742729
Switzerland,2017,6818918
Switzerland,2018,6873197
Switzerland,2019,6923420
Switzerland,2020,6977819
Switzerland,2021,7028142
Switzerland,2022,7080283
Switzerland,2023,7143873
Iceland,2007,223489
Iceland,2008,230648
Iceland,2009,233644
Iceland,2010,232312
Iceland,2011,227247
Iceland,2012,229077
Iceland,2013,231905
Iceland,2014,235698
Iceland,2015,238909
Iceland,2016,242529
Iceland,2017,248757
Iceland,2018,257878
Iceland,2019,264640
Iceland,2020,268815
Iceland,2021,272025
Iceland,2022,277368
Iceland,2023,286296
Iceland,2024,294175
